conf_id,base_model,relevant,distance_type,dropout_p,out_dim,learning_rate,loss_margin,epochs,supervised,data,normalization,filter,test_session,frequency_shift,augmentation_scale,models_trained,to_train,mean_val_loss,mean_train_loss,std_val_loss,std_train_loss,mean_val_acc,std_val_acc,mean_test_acc,std_test_acc,mean_triplet_val_acc,std_triplet_val_acc,mean_triplet_test_acc,std_triplet_test_acc,mean_val_pool_acc,std_val_pool_acc,mean_test_pool_acc,std_test_pool_acc,mean_val_mae,std_val_mae,mean_test_mae,std_test_mae
111,0,True,euclidean,0.5,64,0.1,250,10,self-supervised,unlabeled,min_max,45,-1,2,1,2,0,20.106649398803697,17.66632843017575,4.8726881935372255,1.4424067694537803,0.0,0.0,0.22910814606741572,0.001241409377083132,0.967809734915903,0.00956156263412,0.964009831460674,0.001241409377083,,,0.480688202247191,0.0009931275016664821,,,1.2772120786516854,0.01613832190208064
112,0,True,euclidean,0.5,64,0.05,250,10,self-supervised,unlabeled,min_max,45,-1,2,2,2,0,32.00078773498535,32.69839000701905,4.283050411121934,1.7419595946861555,0.0,0.0,0.24139747191011235,0.00571048313458238,0.947975926593216,0.014704849966366,0.928019662921348,0.000496563750833,,,0.49561095505617975,0.0072001743870821035,,,1.2552668539325842,0.0054622012591657495
113,0,True,euclidean,0.5,64,0.01,250,10,self-supervised,unlabeled,min_max,45,-1,2,3,2,0,75.01669311523435,76.75688552856445,12.858271137034073,3.0504068208329125,0.0,0.0,0.24069522471910113,0.006207046885415621,0.87871246947147,0.016682225695632,0.831987359550562,0.008193301888749,,,0.4884129213483146,0.014896912524997467,,,1.2824789325842696,0.023586778164579273
114,0,True,euclidean,0.5,64,0.001,250,15,supervised,labeled,min_max,45,4,False,0,2,0,160.577123006185,123.8345314979555,4.4981310614780865,7.619236557007579,0.5607476635514019,0.019825423771585447,0.2675561797752809,0.01688316752833047,0.712664649341402,0.01239765360393,0.513176061702533,0.005549170051685,0.8387850467289719,0.0033042372952642018,0.5224719101123596,0.011917530019998021,0.4953271028037383,0.019825423771585447,1.283005617977528,0.16386603777497233
115,0,False,euclidean,0.5,64,0.001,250,15,supervised,labeled,min_max,0,4,False,0,2,0,90.2357241312663,75.7693310764101,5.6218725900114865,12.040459147013863,0.6331775700934579,0.049563559428963656,0.1952247191011236,0.07746394512998694,0.649029903880385,0.005475105906303,0.599568336189932,0.01539628172075,0.8341121495327103,0.0033042372952642803,0.5049157303370786,0.1698248027849714,0.5210280373831775,0.06938898320054902,1.1910112359550562,0.44690737574992473
116,0,True,euclidean,0.5,64,0.001,250,50,supervised,labeled,min_max,45,4,False,0,2,0,146.702649434408,103.7605629285175,0.009512824687811767,2.960486291005074,0.5841121495327102,0.019825423771585447,0.24648876404494383,0.004965637508332489,0.736605553577786,0.00056639026617,0.522166412746778,0.009229913786674,0.8434579439252337,0.009912711885792685,0.5014044943820224,0.0019862550033329643,0.46261682242990654,0.0066084745905284825,1.4297752808988764,0.0039725100066660855
117,0,True,euclidean,0.5,64,0.001,250,15,supervised,labeled,min_max,55,4,False,0,2,0,105.0640226999915,86.2473039733039,7.049128073187722,8.082461726947765,0.7850467289719626,0.0,0.25,0.0,0.821778212887148,0.008621718496134,0.593065606551133,0.015850763797785,0.941588785046729,0.023129661066849726,0.5,0.0,0.27102803738317754,0.013216949181056965,1.25,0.3535533905932738
118,0,True,euclidean,0.5,64,0.001,250,15,supervised,labeled,min_max,45,1,False,0,2,0,183.460423787435,144.5874759197235,6.518575901504433,7.888549336875763,0.46261682242990654,0.02643389836211393,0.3377808988764045,0.06455328760832248,0.665153941982559,0.007550526227299,0.610970926172792,0.030960890136699,0.7780373831775701,0.016521186476321247,0.6018258426966292,0.12215468270497938,0.6425233644859814,0.0033042372952642018,1.0393258426966292,0.22643307037996185
119,0,True,euclidean,0.5,64,0.001,250,15,supervised,labeled,min_max,45,2,False,0,2,0,187.631945292155,147.9641611893975,10.619070891028596,10.315559236666633,0.42990654205607476,0.05286779672422786,0.3209269662921348,0.018869422531663474,0.658168713294181,0.018687552412565,0.539060020313591,0.015839542018105,0.7850467289719626,0.013216949181056965,0.6004213483146067,0.010924402518331499,0.6658878504672897,0.0693889832005491,1.0695224719101124,0.018869422531663512
120,0,True,euclidean,0.5,64,0.001,250,15,supervised,labeled,min_max,45,3,False,0,2,0,172.462500254313,132.759272008472,13.592947127159945,0.8707170782407873,0.5350467289719626,0.0033042372952642803,0.2865168539325843,0.0039725100066659675,0.687833748665005,0.033542890207586,0.53988922744874,0.03163419691749,0.7967289719626168,0.03634661024790661,0.550561797752809,0.04568386507665896,0.5420560747663551,0.013216949181056965,1.1214887640449438,0.03475946255832739
121,0,True,euclidean,0.5,64,0.001,250,50,supervised,labeled,min_max,45,1,False,0,2,0,172.0775451660155,123.585121154785,1.2660292891058065,2.1777067577205913,0.5093457943925234,0.01982542377158541,0.32092696629213485,0.020855677534996477,0.686910482292223,0.003460657854178,0.604563416492097,0.039438944684824,0.8364485981308412,0.02643389836211393,0.5301966292134832,0.0029793825049995643,0.5841121495327102,0.03304237295264241,1.1018258426966292,0.08640209264498555
122,0,True,euclidean,0.5,64,0.001,250,50,supervised,labeled,min_max,45,2,False,0,2,0,166.335517883301,124.5030746459965,9.783733390966978,4.533873387280835,0.5677570093457944,0.0033042372952642018,0.3223314606741573,0.010924402518331499,0.706664886990567,0.016674078751952,0.544789087792801,0.005594057170404,0.8154205607476636,0.009912711885792685,0.5821629213483146,0.01688316752833047,0.49766355140186913,0.0033042372952642412,1.0976123595505618,0.0963333676616503
