conf_id,base_model_conf,learning_rate,epochs,test_session,models_trained,to_train,mean_val_loss,mean_train_loss,std_val_loss,std_train_loss,mean_val_acc,std_val_acc,mean_test_acc,std_test_acc,mean_val_mae,std_val_mae,mean_test_mae,std_test_mae
1,114,0.0001,15,4,2,0,0.99236410856247,0.829618997871875,0.002708187897916,0.053550321114956,0.52803738317757,0.026433898362114,0.260533707865168,0.004965637508332,0.591121495327103,0.062780508610021,1.31179775280899,0.228419325383295
2,117,0.0001,15,4,2,0,0.541914850473404,0.426413219422102,0.000245926861061,0.020135899220458,0.745327102803738,0.042955084838435,0.25,0,0.322429906542056,0.046259322133699,1,0
3,118,0.0001,15,1,2,0,1.06721901893616,0.919361714273691,0.022043138945988,0.037680520632415,0.488317757009346,0.003304237295264,0.366573033707865,0.097326495163317,0.691588785046729,0.006608474590528,1.03089887640449,0.23835060039996
4,131,0.0001,15,1,2,0,0.576011419296264,0.477108215913176,0.048010739544215,0.112155074061624,0.752336448598131,0.092518644267399,0.25,0,0.464953271028037,0.208166949601647,1,0
5,111,0.0001,15,1,2,0,2.86034297943115,2.46234293282032,0.056134207419902,0.032133073406074,0.228971962616822,0.013216949181057,0.232443820224719,0.010924402518332,1.27570093457944,0.006608474590529,1.29775280898876,0.051642630086658
6,111,0.0001,15,4,2,0,2.7771680355072,2.46514071524143,0.056323699650807,0.021693172589379,0.242990654205607,0.033042372952642,0.258426966292135,0.023835060039996,1.27336448598131,0.062780508610021,1.22963483146067,0.054622012591658
7,112,0.0001,15,1,2,0,2.318274974823,1.92416793853045,0.356841856301491,0.047961691149258,0.245327102803738,0.042955084838435,0.25,0.017876295029997,1.28504672897196,0.105735593448456,1.27808988764045,0.075477690126654
8,112,0.0001,15,4,2,0,2.32177007198334,1.8955378010869,0.006400083240074,0.091725461356428,0.280373831775701,0.052867796724228,0.247191011235955,0.021848805036663,1.22663551401869,0.075997457791078,1.26123595505618,0.031780080053328
9,113,0.0001,15,1,2,0,1.51360619068146,1.39546917378902,0.050835842799896,0.007036669239985,0.245327102803738,0.029738135657378,0.25,0.013903785023331,1.28971962616822,0.039650847543171,1.24087078651685,0.028800697548329
10,113,0.0001,15,4,2,0,1.5620704293251,1.43511012196541,0.018525815850356,0.010671750630354,0.259345794392523,0.016521186476321,0.254213483146067,0,1.21728971962617,0.016521186476321,1.25351123595506,0.038731972564994
11,128,0.0001,15,1,2,0,1.98036831617355,1.64122427999974,0.211843294726184,0.058876534265115,0.268691588785047,0.003304237295264,0.26123595505618,0.015890040026664,1.21495327102804,0.072693220495813,1.17766853932584,0.008938147514998
12,128,0.0001,15,4,2,0,2.32096934318542,1.827627658844,0.004587937341502,0.024802598485119,0.25,0.016521186476321,0.264747191011236,0.018869422531664,1.24766355140187,0.019825423771586,1.22191011235955,0.029793825049995
13,129,0.0001,15,1,2,0,1.45567733049393,1.39193899184466,0.005024494398375,0.031198245769383,0.280373831775701,0.006608474590528,0.273174157303371,0.010924402518332,1.13785046728972,0.009912711885793,1.18539325842697,0.053628885089991
14,129,0.0001,15,4,2,0,1.52650481462479,1.39666801691056,0.060213769474666,0.032230474772979,0.252336448598131,0.006608474590528,0.285814606741573,0.000993127501666,1.29439252336449,0.006608474590529,1.19803370786517,0.009931275016665
15,130,0.0001,15,1,2,0,1.43709212541581,1.32985472679138,0.026758949825873,0.022399975238904,0.299065420560748,0.013216949181057,0.262640449438202,0.035752590059994,1.13551401869159,0.026433898362114,1.20716292134831,0.012910657521664
16,130,0.0001,15,4,2,0,1.42386746406555,1.34567774087191,0.008306132317137,0.023019881623509,0.282710280373832,0.003304237295264,0.217696629213483,0.031780080053328,1.18691588785047,0.08591016967687,1.25140449438202,0.009931275016665
